"payload","is_xss","svg_count","img_detected","script_detected","event_detected","iframe_a_embed_detected","context","expected"
"<ScRiPt>alert(String.fromCharCode(88,83,83))</ScRiPt>","True","0","False","True","False","False","Low likelihood in search bar (script tag, eval, or scroll/load event)","True"
"<img src=x onerror=eval(atob('YWxlcnQoMSk='))>","True","0","True","True","True","False","Low likelihood in search bar (script tag, eval, or scroll/load event)","True"
"<svg/onload=eval(decodeURIComponent('alert%281%29'))>","True","1","False","True","True","False","Low likelihood in search bar (script tag, eval, or scroll/load event)","True"
""" onpointerdown=alert`xss`""","True","0","False","False","True","False","Low likelihood in search bar (malformed syntax)","True"
"<a href=data:text/html;base64,PHNjcmlwdD5hbGVydCgxKTwvc2NyaXB0Pg==>","True","0","False","False","False","True","Moderate likelihood in product reviews or profile bio (data URL)","True"
"<input onfocus=eval('alert\x281\x29')>","True","0","False","True","True","False","Low likelihood in search bar (script tag, eval, or scroll/load event)","True"
"<div onscroll=alert(String.fromCharCode(88,83,83))>","True","0","False","True","True","False","Low likelihood in search bar (script tag, eval, or scroll/load event)","True"
"<embed src=vbscript:msgbox('xss')>","True","0","False","False","False","True","Low likelihood (vbscript not supported in modern browsers)","True"
"<iframe src=javascript:alert(decodeURIComponent('%58%53%53'))>","True","0","False","True","False","True","High likelihood in product reviews or profile bio (javascript URL)","True"
"<img src=x onmousemove=alert`1`>","True","0","True","False","True","False","High likelihood in search bar or product reviews (e.g., mousemove, onerror, focus)","True"
"alert('safe')","False","0","False","False","False","False","Moderate likelihood, test in product reviews or profile bio","False"
"console.log('x')","False","0","False","False","False","False","Moderate likelihood, test in product reviews or profile bio","False"
"document.getElementById('test')","False","0","False","False","False","False","Moderate likelihood, test in product reviews or profile bio","False"
"window.location='home'","False","0","False","False","False","False","Moderate likelihood, test in product reviews or profile bio","False"
"console.warn('debug')","False","0","False","False","False","False","Moderate likelihood, test in product reviews or profile bio","False"
"alert('welcome')","False","0","False","False","False","False","Moderate likelihood, test in product reviews or profile bio","False"
"\""><script>alert('test')</script>\""","True","0","False","True","False","False","Low likelihood in search bar (script tag, eval, or scroll/load event)","True"
"\""><img src='x' onerror=alert('hack')>\""","True","0","True","False","True","False","Low likelihood in search bar (malformed syntax)","True"
"<a href=javascript:alert('click')>","True","0","False","False","False","True","High likelihood in product reviews or profile bio (javascript URL)","True"
"<div onmouseover=alert('xss')>","True","0","False","False","True","False","Moderate likelihood in product reviews (e.g., mouseover, click, pointerdown)","True"
